words@or1958m	@or1958m	11.784	12.119	судебной
words@or1958m	@or1958m	12.119	12.454	психиатрии
words@or1958m	@or1958m	12.454	12.789	имени
words@or1958m	@or1958m	12.789	13.124	Сербского
words@or1958m	@or1958m	13.124	13.459	/
words@or1958m	@or1958m	13.459	13.794	потому
words@or1958m	@or1958m	13.794	14.129	что
words@or1958m	@or1958m	14.129	14.464	всех
words@or1958m	@or1958m	14.464	14.799	диссидентов
words@or1958m	@or1958m	14.799	15.134	прогоняли
words@or1958m	@or1958m	15.134	15.469	через
words@or1958m	@or1958m	15.469	15.804	/
words@or1958m	@or1958m	15.804	16.139	эээ
words@or1958m	@or1958m	16.139	16.474	с..судебно-психиатрическую
words@or1958m	@or1958m	16.474	16.809	экспертизу
words@or1958m	@or1958m	16.809	17.144	/
words@or1958m	@or1958m	17.144	17.479	ну
words@or1958m	@or1958m	17.479	17.814	потому
words@or1958m	@or1958m	17.814	18.149	что
words@or1958m	@or1958m	18.149	18.484	ясно
words@or1958m	@or1958m	18.484	18.819	если
words@or1958m	@or1958m	18.819	19.154	против
words@or1958m	@or1958m	19.154	19.489	советской
words@or1958m	@or1958m	19.489	19.824	власти
words@or1958m	@or1958m	19.824	20.159	/
words@or1958m	@or1958m	20.159	20.494	то
words@or1958m	@or1958m	20.494	20.829	явно
words@or1958m	@or1958m	20.829	21.164	ненормальный
words@or1958m	@or1958m	21.164	21.499	/
words@or1958m	@or1958m	21.499	21.834	/
words@or1958m	@or1958m	21.834	22.169	это
words@or1958m	@or1958m	22.169	22.504	был
words@or1958m	@or1958m	22.504	22.839	самый
words@or1958m	@or1958m	22.839	23.174	страшный
words@or1958m	@or1958m	23.174	23.509	момент
words@or1958m	@or1958m	23.509	23.844	/
words@or1958m	@or1958m	23.844	24.179	в
words@or1958m	@or1958m	24.179	24.514	эээ
words@or1958m	@or1958m	24.514	24.849	/
words@or1958m	@or1958m	24.849	25.184	за
words@or1958m	@or1958m	25.184	25.519	все
words@or1958m	@or1958m	25.519	25.854	заключение
words@or1958m	@or1958m	25.854	26.189	/
words@or1958m	@or1958m	26.189	26.524	потому
words@or1958m	@or1958m	26.524	26.859	что
words@or1958m	@or1958m	26.859	27.194	в
words@or1958m	@or1958m	27.194	27.529	психиатрии
words@or1958m	@or1958m	27.529	27.864	нет
words@or1958m	@or1958m	27.864	28.199	сроков
words@or1958m	@or1958m	28.199	28.534	/
words@or1958m	@or1958m	28.534	28.869	/
words@or1958m	@or1958m	28.869	29.204	ну
words@or1958m	@or1958m	29.204	29.539	так
words@or1958m	@or1958m	29.539	29.874	мм
words@or1958m	@or1958m	29.874	30.209	/
words@or1958m	@or1958m	30.209	30.544	тебе
words@or1958m	@or1958m	30.544	30.879	так
words@or1958m	@or1958m	30.879	31.214	дали
words@or1958m	@or1958m	31.214	31.549	срок
words@or1958m	@or1958m	31.549	31.884	/
words@or1958m	@or1958m	31.884	32.219	отсидел
words@or1958m	@or1958m	32.219	32.554	вышел
words@or1958m	@or1958m	32.554	32.889	/
words@or1958m	@or1958m	32.889	33.224	если
words@or1958m	@or1958m	33.224	33.559	выпустили
words@or1958m	@or1958m	33.559	33.894	/
words@or1958m	@or1958m	33.894	34.229	а
words@or1958m	@or1958m	34.229	34.564	в
words@or1958m	@or1958m	34.564	34.899	психиатрии
words@or1958m	@or1958m	34.899	35.234	пока
words@or1958m	@or1958m	35.234	35.569	они
words@or1958m	@or1958m	35.569	35.904	не
words@or1958m	@or1958m	35.904	36.239	решат
words@or1958m	@or1958m	36.239	36.574	что
words@or1958m	@or1958m	36.574	36.909	ты
words@or1958m	@or1958m	36.909	37.244	вылечился
words@or1958m	@or1958m	37.244	37.579	/
words@or1958m	@or1958m	37.579	37.941	/
words@or1958m	@or1958m	38.096	38.412	знаете
words@or1958m	@or1958m	38.412	38.728	вот
words@or1958m	@or1958m	38.728	39.044	ээ
words@or1958m	@or1958m	39.044	39.36	/
words@or1958m	@or1958m	39.36	39.676	и
words@or1958m	@or1958m	39.676	39.992	вот
words@or1958m	@or1958m	39.992	40.308	/
words@or1958m	@or1958m	40.308	40.624	могут
words@or1958m	@or1958m	40.624	40.94	держать
words@or1958m	@or1958m	40.94	41.256	/
words@or1958m	@or1958m	41.256	41.572	сколько
words@or1958m	@or1958m	41.572	41.888	угодно
words@or1958m	@or1958m	41.888	42.204	/
words@or1958m	@or1958m	42.204	42.52	и
words@or1958m	@or1958m	42.52	42.836	могут
words@or1958m	@or1958m	42.836	43.152	колоть
words@or1958m	@or1958m	43.152	43.468	/
words@or1958m	@or1958m	43.468	43.784	ии
words@or1958m	@or1958m	43.784	44.1	класть
words@or1958m	@or1958m	44.1	44.416	на
words@or1958m	@or1958m	44.416	44.732	вязки
words@or1958m	@or1958m	44.732	45.048	вас
words@or1958m	@or1958m	45.048	45.364	привязывают
words@or1958m	@or1958m	45.364	45.68	/
words@or1958m	@or1958m	45.68	45.996	вот
words@or1958m	@or1958m	45.996	46.312	так
words@or1958m	@or1958m	46.312	46.628	вот
words@or1958m	@or1958m	46.628	46.944	вы
words@or1958m	@or1958m	46.944	47.26	лежите
words@or1958m	@or1958m	47.26	47.576	#нрзб
words@or1958m	@or1958m	47.576	47.892	/
words@or1958m	@or1958m	47.892	48.208	плюс
words@or1958m	@or1958m	48.208	48.524	/
words@or1958m	@or1958m	48.524	48.84	ты
words@or1958m	@or1958m	48.84	49.156	начинаешь
words@or1958m	@or1958m	49.156	49.472	себя
words@or1958m	@or1958m	49.472	49.788	цензурировать
words@or1958m	@or1958m	49.788	50.104	/
words@or1958m	@or1958m	50.104	50.42	ты
words@or1958m	@or1958m	50.42	50.736	/
words@or1958m	@or1958m	50.736	51.052	там
words@or1958m	@or1958m	51.052	51.368	же
words@or1958m	@or1958m	51.368	51.684	/
words@or1958m	@or1958m	51.684	52.0	с
words@or1958m	@or1958m	52.0	52.316	вами
words@or1958m	@or1958m	52.316	52.632	/
words@or1958m	@or1958m	52.632	52.948	в
words@or1958m	@or1958m	52.948	53.264	этом
words@or1958m	@or1958m	53.264	53.58	четвертом
words@or1958m	@or1958m	53.58	53.896	отделении
words@or1958m	@or1958m	53.896	54.212	/
words@or1958m	@or1958m	54.212	54.528	в
words@or1958m	@or1958m	54.528	54.844	котором
words@or1958m	@or1958m	54.844	55.16	содержались
words@or1958m	@or1958m	55.16	55.476	подследственные
words@or1958m	@or1958m	55.476	55.792	КГБ
words@or1958m	@or1958m	55.792	56.108	на
words@or1958m	@or1958m	56.108	56.424	псих
words@or1958m	@or1958m	56.424	56.74	/
words@or1958m	@or1958m	56.74	57.056	нааа
words@or1958m	@or1958m	57.056	57.372	экспертизе
words@or1958m	@or1958m	57.372	57.688	/
words@or1958m	@or1958m	57.688	58.004	там
words@or1958m	@or1958m	58.004	58.32	круглые
words@or1958m	@or1958m	58.32	58.636	сутки
words@or1958m	@or1958m	58.636	58.952	сидит
words@or1958m	@or1958m	58.952	59.268	/
words@or1958m	@or1958m	59.268	59.584	эээ
words@or1958m	@or1958m	59.584	59.9	/
words@or1958m	@or1958m	59.9	60.216	вертухай
words@or1958m	@or1958m	60.216	60.532	/
words@or1958m	@or1958m	60.532	60.848	который
words@or1958m	@or1958m	60.848	61.164	все
words@or1958m	@or1958m	61.164	61.48	записывает
words@or1958m	@or1958m	61.48	61.796	/
words@or1958m	@or1958m	61.796	62.112	/
words@or1958m	@or1958m	62.112	62.428	все
words@or1958m	@or1958m	62.428	62.744	что
words@or1958m	@or1958m	62.744	63.06	происходит
words@or1958m	@or1958m	63.06	63.376	все
words@or1958m	@or1958m	63.376	63.692	что
words@or1958m	@or1958m	63.692	64.008	говорит
words@or1958m	@or1958m	64.008	64.324	кто
words@or1958m	@or1958m	64.324	64.64	как
words@or1958m	@or1958m	64.64	64.956	себя
words@or1958m	@or1958m	64.956	65.272	ведет
words@or1958m	@or1958m	65.272	65.588	/
words@or1958m	@or1958m	65.588	65.904	/
words@or1958m	@or1958m	65.904	66.22	и
words@or1958m	@or1958m	66.22	66.536	ты
words@or1958m	@or1958m	66.536	66.852	думаешь
words@or1958m	@or1958m	66.852	67.168	/
words@or1958m	@or1958m	67.168	67.484	а
words@or1958m	@or1958m	67.484	67.8	вдруг
words@or1958m	@or1958m	67.8	68.116	ты
words@or1958m	@or1958m	68.116	68.432	там
words@or1958m	@or1958m	68.432	68.748	смеешься
words@or1958m	@or1958m	68.748	69.064	чему-то
words@or1958m	@or1958m	69.064	69.38	громко
words@or1958m	@or1958m	69.38	69.696	/
words@or1958m	@or1958m	69.696	70.012	#нрзб
words@or1958m	@or1958m	70.012	70.328	/
words@or1958m	@or1958m	70.328	70.644	нет
words@or1958m	@or1958m	70.644	70.96	он
words@or1958m	@or1958m	70.96	71.276	щас
words@or1958m	@or1958m	71.276	71.592	подумает
words@or1958m	@or1958m	71.592	71.908	/
words@or1958m	@or1958m	71.908	72.224	что
words@or1958m	@or1958m	72.224	72.54	у
words@or1958m	@or1958m	72.54	72.856	меня
words@or1958m	@or1958m	72.856	73.172	какой-то
words@or1958m	@or1958m	73.172	73.488	м...
words@or1958m	@or1958m	73.488	73.804	маниакальность
words@or1958m	@or1958m	73.804	74.12	/
words@or1958m	@or1958m	74.12	74.436	что
words@or1958m	@or1958m	74.436	74.752	я
words@or1958m	@or1958m	74.752	75.068	пс
words@or1958m	@or1958m	75.068	75.384	/
words@or1958m	@or1958m	75.384	75.7	да
words@or1958m	@or1958m	75.7	76.016	/
